iter	Accuracy	Logloss
981	0.883	0.2885527954
982	0.883	0.2884196167
983	0.883	0.2883670044
984	0.883	0.2883533325
985	0.883	0.2883530273
986	0.883	0.2882996216
987	0.883	0.2882878723
988	0.88325	0.2882207031
989	0.88325	0.288171814
990	0.88325	0.2881670837
991	0.88325	0.2881427917
992	0.883375	0.2880916443
993	0.883375	0.2880643311
994	0.88325	0.2880222473
995	0.88325	0.2880218811
996	0.88325	0.2879696655
997	0.88325	0.2879682007
998	0.88325	0.2879138794
999	0.883375	0.2879020691
1000	0.8835	0.2878721619
1001	0.883375	0.2878544006
1002	0.883375	0.2878504333
1003	0.883375	0.2878326416
1004	0.8835	0.2878161621
